2021-06-07 20:31:00.077 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'executor'
2021-06-07 20:31:00.133 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-06-07 20:34:11.077 [main] INFO  com.mrl.pastry.upload.UploadApplication - The following profiles are active: upload,prod
2021-06-07 20:34:15.246 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=d12fdf71-26f7-30d7-9726-1c91228df15e
2021-06-07 20:34:16.240 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@4dfdfe7d' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-07 20:34:16.268 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-07 20:34:17.384 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2021-06-07 20:34:17.385 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6269 ms
2021-06-07 20:34:17.922 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2021-06-07 20:34:17.963 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'executor'
2021-06-07 20:34:19.435 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'executor'
2021-06-07 20:34:19.458 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-06-07 21:12:18.424 [main] INFO  com.mrl.pastry.upload.UploadApplication - The following profiles are active: upload,prod
