2021-06-08 19:18:00.491 [main] INFO  io.undertow - starting server: Undertow - 2.1.3.Final
2021-06-08 19:18:00.530 [main] INFO  org.xnio - XNIO version 3.8.0.Final
2021-06-08 19:18:00.579 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.0.Final
2021-06-08 19:18:00.770 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2021-06-08 19:18:00.909 [main] INFO  o.s.boot.web.embedded.undertow.UndertowWebServer - Undertow started on port(s) 8470 (http)
2021-06-08 19:18:01.087 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP pastry-pay 192.168.43.215:8470 register finished
2021-06-08 19:18:03.110 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [rabbit:5672]
2021-06-08 19:18:03.517 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#16f2d883:0/SimpleConnection@712a5de4 [delegate=amqp://mrl@47.115.138.120:5672//pastry, localPort= 59927]
2021-06-08 19:18:04.464 [main] INFO  com.mrl.pastry.pay.PayApplication - Started PayApplication in 38.009 seconds (JVM running for 41.999)
2021-06-08 19:18:04.554 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-06-08 19:18:05.210 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-06-08 19:23:01.187 [XNIO-1 task-1] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-08 19:23:01.188 [XNIO-1 task-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-08 19:23:01.261 [XNIO-1 task-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 73 ms
2021-06-08 19:36:36.897 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2021-06-08 19:36:37.670 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2021-06-08 19:36:37.679 [SpringContextShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.1.3.Final
2021-06-08 19:36:37.721 [SpringContextShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2021-06-08 19:36:37.724 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'Nacso-Watch-Task-Scheduler'
2021-06-08 19:36:37.746 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
